,order_id,product_id,add_to_cart_order,reordered
953520,2352138,12784,1,0
1110380,2744398,24184,8,1
1142089,2821351,47626,15,0
977246,2409863,16137,12,1
1196772,2956247,15472,31,0
901193,2224372,24135,2,1
1245521,3076707,21137,4,0
1324273,3271505,48775,9,0
796832,1962578,30016,6,1
862148,2127412,20410,2,0
686458,1686833,45656,1,0
1280389,3163342,11689,22,0
1333299,3294776,5115,2,1
1117090,2760891,5025,16,1
109655,268656,40670,12,0
862516,2127972,12212,2,1
1353871,3344845,16768,17,0
556935,1369794,890,15,1
690024,1695597,648,12,1
283073,688982,9358,1,1
390525,953344,6023,5,1
217720,533177,31886,3,0
1127856,2787955,35221,4,1
1239027,3060037,28156,10,1
631950,1556092,9819,11,0
268091,653468,47630,3,1
1140126,2816943,30336,4,1
1256379,3106100,14633,7,0
1011243,2498813,23,15,0
596149,1466092,47492,5,1
265814,647628,27470,9,0
545266,1341927,30422,18,0
129364,315978,19376,3,1
1178084,2909621,34050,4,1
753285,1854195,45123,12,0
1031882,2550803,45007,13,1
143388,349507,24852,1,1
1280198,3162940,28064,11,0
458833,1123948,45937,11,1
28853,70190,14462,8,1
328557,800256,43183,8,0
562318,1382702,27247,1,1
923289,2278220,33129,6,1
785604,1934346,40377,18,0
1175825,2904036,29662,3,1
86416,214631,32197,13,1
157866,385808,12889,1,1
915005,2257870,32734,7,1
116044,283959,24810,14,1
850693,2099956,27730,14,1
323209,786821,32689,1,1
324833,790806,5031,22,1
1362966,3368463,46667,9,0
985133,2431740,12087,2,1
974097,2403327,14881,9,1
1100906,2721271,3520,10,0
1275699,3151631,35914,2,0
406405,994548,48230,10,1
746938,1837890,45633,3,1
159928,390852,23334,1,1
394064,962528,42450,2,1
328625,800466,27241,6,1
1325360,3274477,5699,8,0
543457,1337218,38108,28,0
378275,923377,46654,1,0
1052559,2604159,39275,11,1
977640,2410931,27966,9,1
897563,2214995,20382,5,1
1031786,2550593,31872,7,0
939887,2318859,40078,2,0
1274991,3149871,44912,12,0
1175762,2903701,8490,7,0
842098,2077829,9839,6,1
987201,2437480,35221,4,0
144223,351947,432,1,1
1015580,2511005,26634,5,1
1147123,2834070,33508,7,1
363975,886014,22880,4,0
697346,1713596,45066,15,0
1055000,2609598,2295,11,0
405845,992940,35750,34,0
227717,557865,26587,14,0
291691,710233,15366,7,1
476642,1167814,36675,26,0
721268,1773196,5646,6,1
268864,655011,30918,2,1
48579,119790,40568,5,0
1235883,3052707,673,5,0
316281,769830,3458,17,0
388330,948071,35547,20,1
872784,2152507,25257,2,1
345389,841147,24852,2,1
1136994,2809104,2977,18,1
1249043,3085630,30011,8,1
462944,1134383,33754,4,1
1050011,2597110,29553,9,1
1346738,3327394,13425,3,1
1067597,2639584,16797,5,1
798361,1966449,28985,1,1
299207,728272,5479,2,1
27137,66050,36968,13,1
1108039,2738847,48097,5,1
312931,761678,45635,1,0
997313,2462725,47766,8,1
171993,420820,23516,19,1
1258870,3111667,43662,17,0
917874,2265354,34234,3,1
464636,1138928,41363,5,0
616904,1518638,31477,5,0
18500,44829,23032,1,0
179265,440397,48230,24,1
1338612,3307423,9176,9,0
837404,2064639,4658,4,1
1061858,2625751,33509,8,1
902001,2226284,24830,8,0
811385,2000998,21903,2,1
240478,587344,48524,11,0
714711,1757393,5031,20,0
851355,2101864,4966,15,0
1314519,3247375,24195,5,0
13649,33079,33407,9,0
515042,1265496,10621,2,1
530733,1303270,20875,7,0
275810,671826,20940,1,1
1364140,3371435,2106,5,1
937615,2313293,41570,3,0
315159,767198,39877,5,1
116564,285147,14971,30,1
690782,1697937,39877,4,1
466144,1142376,26790,5,0
809178,1995781,45443,9,1
865204,2134172,17948,15,1
774160,1905771,29373,27,0
321508,782752,49628,6,1
1216628,3005198,24489,14,0
439678,1075814,46931,1,1
916584,2262107,30233,3,0
1014644,2508423,49688,3,0
875815,2159211,47877,8,0
396652,969148,2855,39,1
536736,1318886,5212,11,1
516120,1267886,29987,7,1
1294396,3197067,17400,18,0
171463,419732,25659,6,1
245735,599655,48679,16,0
989157,2442890,48679,21,0
1038136,2567138,1446,1,0
366567,893396,31747,2,0
428877,1048870,10255,3,0
813450,2007027,22825,12,1
931727,2299789,48988,2,1
1114351,2754234,23170,2,0
72664,179342,46064,3,0
1230599,3040277,11520,4,1
1016350,2513408,12087,5,1
760611,1872929,15872,10,1
755123,1859089,44533,2,0
339739,827858,39180,1,1
378735,924485,40604,1,1
4648,11390,13269,10,1
12837,31036,21616,8,1
89034,221790,2537,18,0
384042,937458,23691,1,1
329766,802935,39619,16,1
215980,529010,23909,5,0
1293443,3195265,26730,5,1
124610,304654,31808,7,0
203629,499639,31506,23,1
37219,90930,48239,19,0
1253004,3096583,1140,11,0
806800,1989325,34,12,0
260984,636197,46680,4,1
1259921,3113955,27985,7,1
207645,508726,19051,12,0
383618,936001,18288,25,1
395730,967002,32851,17,1
569898,1400820,1947,6,1
494524,1214775,25837,1,1
324277,788940,28849,18,1
1377437,3404972,40396,17,0
545417,1342300,10685,2,0
435910,1065536,36165,2,1
353589,861120,9725,13,1
1342663,3317744,10992,13,0
408145,998989,14197,23,1
956975,2360834,36406,3,0
783425,1928812,38773,15,0
232156,567963,5547,10,0
1252636,3095480,13263,9,1
1254910,3102351,41220,15,1
773994,1905427,35159,6,1
76033,187887,42013,9,1
312256,760166,39265,14,0
1290611,3188301,43654,24,0
34074,82843,9755,6,0
494513,1214756,34079,14,0
1283661,3170601,36036,16,1
622037,1530367,39877,3,1
1265402,3126369,38293,2,1
43155,106376,45356,1,1
427842,1046323,31801,11,1
585467,1439611,17419,7,1
99073,244895,23734,3,1
419853,1028560,15097,6,0
961808,2372977,651,8,0
151666,370563,44008,19,1
5912,14314,42768,12,0
828986,2043618,14086,1,1
689085,1693526,12820,3,1
93085,231374,23659,4,0
346653,845073,4913,3,1
892234,2200863,22935,3,0
619175,1523599,13070,22,1
1317141,3253907,21955,8,1
494820,1215528,4793,2,1
1279387,3160893,39558,2,1
1183606,2924389,7835,5,0
524021,1287226,8448,8,0
50209,123921,44533,9,1
340123,828800,32478,1,1
452381,1107274,49235,6,1
466257,1142816,32281,8,0
1061880,2625853,47877,3,0
770108,1894995,21903,5,1
514077,1262776,24850,12,0
545550,1342388,26209,3,1
1064995,2632928,41259,8,0
28070,68260,29941,48,1
317042,772071,2597,4,1
187678,460559,26790,10,1
1332260,3292013,11984,5,0
1160291,2867907,39993,7,1
997284,2462711,7969,6,0
1097340,2711815,26209,13,0
1176076,2904927,24852,12,1
57329,140639,9124,12,1
1352880,3342780,14536,7,0
250121,610419,35547,3,1
82293,203322,37164,5,0
639141,1573259,46470,12,0
1190354,2940399,11679,3,1
389456,950653,8057,3,0
428580,1048158,8710,5,0
621161,1528275,23516,18,0
603268,1483697,25890,8,1
200688,491724,1819,12,0
896997,2213640,20448,1,0
959351,2366190,35503,8,1
203724,499915,47209,4,1
139758,341255,47734,14,0
1341362,3314057,27903,7,0
823399,2030824,24368,12,1
1096284,2709264,47209,7,1
996352,2460259,32099,7,1
855261,2111036,26857,43,0
1044555,2584099,38427,24,0
682892,1677542,22890,3,0
87047,216260,24852,6,0
766199,1886091,22395,9,0
284219,691718,8424,11,1
1138320,2812317,22113,4,0
911471,2249814,424,32,0
1054172,2608035,14347,2,1
741329,1824684,12033,1,1
331646,807060,24852,23,1
467130,1144995,34590,21,1
316834,771500,8412,2,1
247775,604909,13834,8,0
686748,1687509,8197,7,1
223240,546758,29447,10,1
656991,1615926,7781,13,1
497238,1221043,31215,1,1
833102,2053721,35383,5,1
1030775,2548409,8309,1,1
137509,335813,11068,2,1
1361653,3365478,13733,8,0
526710,1294060,10032,9,0
1132151,2797843,14335,10,0
454688,1112528,25986,8,1
358234,871412,16253,16,1
1139133,2814373,38511,5,1
11908,28621,32387,9,0
1173959,2900022,7480,1,1
351427,856013,5068,12,1
410397,1004644,48679,28,0
52199,128440,37766,13,1
997507,2463254,13870,1,0
542353,1335084,49652,1,1
219402,537531,9901,15,1
1215216,3001496,27625,17,1
298127,725777,23039,5,0
1209950,2988217,7916,23,0
428565,1048103,38293,13,1
671987,1651192,18468,14,0
243368,594087,21709,1,1
618897,1522833,24184,22,0
39603,97455,29141,43,0
839133,2068997,41950,3,1
1012162,2500884,12503,3,0
629918,1550536,9421,4,1
1279611,3161122,46616,12,0
1258086,3109898,30659,22,0
1044951,2584880,8021,1,1
1037918,2566257,26604,19,0
1328778,3283530,42736,17,1
841087,2074516,12986,5,0
788784,1942411,15592,17,1
703335,1729684,44570,1,0
572716,1408665,18439,44,0
1354912,3347452,19845,1,0
696693,1712013,45578,5,0
349845,852358,23881,17,1
183286,449437,46979,2,0
629414,1549331,1514,10,1
1349706,3334433,42078,3,1
1340054,3311176,8174,2,1
1312064,3241457,36724,15,1
752294,1851713,44987,13,0
564143,1386945,39886,1,1
1025218,2535036,11182,16,0
9690,23192,5479,4,1
138281,337914,44661,5,1
368336,899034,13944,1,0
638521,1571982,15860,6,0
1263959,3122821,13176,5,1
1119153,2765336,35140,9,0
485425,1191045,35750,2,1
605906,1490435,44310,18,1
1187229,2933325,33731,38,1
41470,101790,21560,4,1
820813,2024477,8539,3,0
858059,2117808,41950,25,1
869975,2145986,343,13,1
1157117,2859508,43545,2,1
1318671,3258132,27104,9,0
284716,692321,42701,7,1
707675,1739499,24269,9,1
1006837,2487483,21137,28,0
1079531,2669090,47766,5,1
879916,2170480,37646,9,1
30391,73945,47766,9,1
529991,1301344,32338,6,0
73678,181928,39560,27,1
137106,334399,16995,18,0
542989,1336222,16327,36,0
620492,1526805,2966,10,1
707386,1738822,13176,15,1
800984,1973351,8277,9,1
68935,169830,45375,6,1
503324,1236072,14211,14,0
402319,984181,18918,2,0
1089295,2691818,21137,6,0
347542,847366,43018,5,1
664249,1633573,35413,14,0
1034578,2557706,41149,11,1
790994,1948362,34798,19,0
475499,1165004,34126,14,1
1337138,3304295,30295,3,0
1090689,2695369,44948,14,1
349504,851570,48679,8,0
836944,2063151,30442,5,0
1027806,2541695,15285,7,0
260117,634032,13176,10,0
1352528,3341795,17840,2,1
763497,1879627,10527,5,0
316916,771715,26369,5,1
437644,1070534,14715,1,1
1092403,2700245,18465,2,1
121615,297478,31231,10,1
720159,1770176,10957,2,0
761573,1874978,32734,2,1
154688,377642,13176,19,0
828054,2042218,36724,11,1
1250719,3090627,21195,6,0
426579,1043865,49026,16,1
1377386,3404860,30169,4,1
289096,703166,31848,9,0
697128,1713212,37067,2,1
1279462,3160930,38159,10,1
711852,1750923,24654,11,1
511009,1254826,33000,2,1
1124880,2780669,17600,2,1
371969,908044,20995,16,0
1231870,3042640,15235,6,1
391041,954471,11526,4,0
21922,53044,23029,5,1
529133,1299358,4957,10,0
189274,464185,24524,1,1
484633,1188600,20608,20,0
37708,92766,36207,6,0
788046,1940367,24577,35,0
470741,1153330,43961,14,1
618298,1521504,20698,19,0
1019164,2520498,20760,9,0
584152,1436135,34678,17,1
193642,474529,5479,3,1
986127,2434399,35982,10,0
422327,1033614,21903,5,1
1370961,3389290,26384,2,1
797148,1963333,41787,4,0
155602,380359,10527,7,0
685641,1684871,35584,1,1
208600,510910,40571,3,1
1307477,3229441,29527,4,0
800028,1971003,972,20,0
77493,191423,27966,1,0
276370,673150,5878,14,0
481409,1180263,31883,37,0
46783,115079,260,12,1
1370747,3388774,47626,12,1
7228,17637,898,30,0
752400,1852087,32655,2,1
377355,921044,26893,35,1
994249,2455822,35221,5,0
1044235,2583354,24186,6,1
182045,446387,8072,33,0
880643,2172143,28576,5,1
691436,1700059,13176,1,1
728658,1792289,10411,20,0
1061771,2625718,38267,11,1
891494,2199064,2344,3,1
489821,1202918,8506,18,0
726201,1786008,8022,9,1
1342934,3318405,10232,15,1
14707,35422,9020,10,1
715893,1759946,27102,3,1
358212,871324,38928,10,0
840184,2071769,33957,20,1
343292,836576,9122,9,1
1051131,2599916,21948,15,1
589400,1449197,2962,2,0
1108419,2739767,38739,7,0
1286539,3178160,23565,22,0
889527,2194969,15290,5,1
1068957,2642706,42265,5,1
992179,2450701,38275,6,0
863590,2130813,22827,17,1
1163126,2874700,27086,2,1
546151,1344165,141,29,0
678068,1665869,24838,9,1
88910,221475,32465,4,0
645903,1589635,46984,8,0
397255,970952,13545,6,0
1168761,2888489,24964,22,1
422658,1034034,14540,14,0
1056378,2612782,16145,11,1
231258,565655,39936,5,0
709379,1744053,30624,6,0
257754,628947,31502,3,1
1040279,2573334,13032,3,1
430131,1051449,10132,11,1
1075693,2658863,24964,4,1
1322840,3267853,44843,5,1
539225,1326341,15290,12,1
1297158,3203713,39397,28,1
1296685,3202563,8277,15,1
1152097,2846783,13070,6,0
433121,1058645,30021,4,0
606064,1490622,48679,12,1
936174,2310164,35420,7,0
1159138,2865276,24798,7,1
1035019,2558771,18019,3,0
513250,1260410,23234,6,1
4207,10446,20776,4,0
1010884,2497722,27086,3,1
212580,521333,21267,25,0
114871,280886,20976,11,0
1087957,2688341,42450,13,1
1331161,3288755,33000,5,1
1328273,3282102,5785,4,1
1187706,2934354,44422,4,1
1078882,2667329,7781,7,0
1099439,2717916,15156,13,1
1322950,3267979,3407,15,1
550042,1353491,23074,3,1
428113,1046859,49509,15,0
821732,2027022,5684,5,1
384851,939737,45066,11,1
118146,288740,29527,8,1
1123934,2778022,27429,6,0
478232,1171525,12341,6,1
195505,479003,5825,6,0
503799,1237547,31506,10,1
416114,1019563,23955,10,1
884052,2180931,18523,9,1
300751,732301,31066,30,0
343985,837845,21376,12,1
497702,1221876,30057,8,1
116997,285830,44632,1,1
181125,444210,47209,1,0
937636,2313306,2488,2,0
386677,943680,13176,2,1
610753,1502821,9825,13,1
1057380,2614799,14709,1,1
1383334,3418722,36865,12,1
101670,250566,27356,12,1
420101,1029085,23165,12,1
464382,1138295,17672,9,1
727639,1789849,21903,4,1
856420,2114174,10193,11,1
119392,291579,13113,5,0
84662,209779,25747,2,0
1224943,3027460,28599,15,0
1125575,2782446,22368,1,1
25136,60776,37067,4,1
1206391,2979867,2120,9,0
302987,737691,48595,25,0
571158,1404328,5025,15,0
744175,1830633,21376,6,1
1051539,2600989,11520,5,0
905590,2235137,28427,4,1
576965,1418568,46584,2,1
101419,250049,9807,8,0
655312,1612459,23715,10,1
190353,466387,36189,25,1
869673,2144997,4920,12,0
877669,2164537,46820,10,0
584143,1436135,36316,8,1
574967,1413769,42741,9,0
964824,2380260,17487,9,1
113798,278281,43295,3,1
210265,515395,44359,14,0
1102553,2724998,32079,2,1
27034,65821,39928,12,1
879039,2168354,30257,22,1
623703,1534989,19006,4,1
427392,1045534,8309,14,1
650440,1600274,5128,5,1
409367,1002396,15925,3,0
281665,686185,34448,11,1
713212,1753693,5423,8,1
580775,1427689,21174,6,0
924515,2281496,28137,2,0
1102206,2724225,24964,5,1
1093285,2702864,24852,2,1
1220190,3014831,20114,5,0
887274,2189202,41844,16,0
558376,1372847,43556,2,0
1209011,2986102,6182,4,1
533713,1310895,33005,15,0
59580,146047,35221,12,1
595496,1464582,45186,10,1
29353,71565,37354,1,0
1197661,2958209,40479,1,1
619770,1524708,20899,25,0
322277,784488,4605,13,1
1218876,3010747,4605,3,1
1081467,2673626,30921,3,0
119444,291687,5390,17,0
567044,1393193,23233,1,0
1071635,2648347,43631,2,1
1325311,3274349,8087,5,1
461462,1130224,21077,3,0
726952,1788151,37971,2,1
1356280,3350862,28204,2,1
942032,2323920,14119,9,1
725893,1785018,32271,3,0
742557,1827213,20583,3,1
754429,1857342,21462,3,0
1253476,3097831,5450,2,0
29893,72732,8251,12,1
149201,364582,46969,9,1
1317728,3255449,33885,2,1
1355016,3347621,42320,4,1
655211,1612116,3044,3,1
579685,1424689,27299,9,0
729525,1794436,24852,6,1
1085861,2682866,10473,8,1
1061488,2624751,34050,1,0
245563,599149,25985,7,1
564077,1386752,37646,18,1
940707,2320712,45007,22,0
223057,546385,744,8,1
485942,1192529,46979,11,1
817442,2016920,24263,11,1
591962,1455829,40604,1,1
1205022,2976396,2238,9,1
77799,192063,9339,11,1
251726,614525,27344,10,0
186327,456526,9104,14,0
145931,356314,43421,5,1
315887,768962,35140,20,0
278063,677551,38274,3,1
320667,780848,24852,2,0
747678,1840000,33041,12,1
1352470,3341544,24852,7,1
170493,417136,1695,5,1
780654,1921788,6522,2,1
318782,776995,46616,4,0
1378119,3406369,7503,13,0
690404,1696898,15429,1,1
1076112,2659973,45309,4,1
452484,1107440,14814,7,1
1204641,2975455,41149,6,0
318670,776559,248,3,0
123622,302614,31846,2,0
1337423,3305005,41177,7,0
447678,1096098,14233,3,1
963052,2376264,44325,25,0
1216009,3003691,22454,5,0
350768,854357,17769,23,1
32884,79772,33704,26,1
106068,261647,31477,7,1
42441,104368,3593,18,0
1320816,3262858,29615,6,1
142480,347243,15802,4,1
1348157,3330969,3773,1,0
589564,1449395,47357,3,1
1199831,2963630,35578,2,0
476160,1166481,39993,19,1
874909,2157227,10132,8,1
918096,2265768,24852,3,1
478388,1172033,21137,4,1
550023,1353467,34124,8,0
690150,1696113,34137,4,1
765836,1885299,22825,21,1
746579,1836487,34126,24,1
962289,2374262,35108,8,1
1039514,2571186,48785,16,0
248268,606055,21903,8,1
1064284,2631493,19508,2,0
239365,584706,42562,2,1
624100,1536015,37158,4,1
704639,1732695,24184,3,1
946771,2335614,49144,2,1
297764,725171,26800,4,0
280965,684440,15712,3,0
123283,301691,6647,25,1
467094,1144923,49509,23,0
1247207,3080865,10529,24,1
606016,1490599,47626,3,1
321932,783775,11520,6,1
420234,1029297,18465,9,1
1343550,3319816,1158,10,1
1251616,3093040,3594,5,1
690672,1697437,33176,3,1
178528,438371,49481,1,1
143455,349664,13176,3,1
867953,2140800,31683,2,1
1015355,2510275,27796,9,0
830501,2047301,2344,7,1
1256933,3107539,25495,5,1
1160127,2867558,42460,7,1
1030287,2546977,44479,4,1
1383582,3419083,12409,8,0
1265200,3125951,1063,6,0
1159780,2866702,18321,11,1
962054,2373663,1166,6,0
142549,347470,11109,5,1
1124457,2779673,34540,18,0
839916,2071407,27977,22,1
560732,1377974,38400,6,0
114910,281018,32537,3,0
352781,859265,39877,4,1
47449,116711,29553,4,1
966776,2385351,31481,7,0
1268300,3133220,21447,17,0
1190974,2942114,21616,7,1
490063,1203312,36962,32,0
1113899,2752619,40670,4,0
905409,2234868,18370,16,1
690411,1696898,6193,8,0
921989,2275514,21137,6,1
1319539,3260194,2091,3,1
775689,1909496,14233,1,1
1151645,2845530,5268,2,1
597324,1469221,9390,11,1
1338626,3307462,25408,1,1
1015603,2511042,1360,1,0
1132914,2799612,21137,2,0
486782,1195227,6046,2,0
517461,1270518,40706,12,1
1111410,2746973,32433,2,0
307531,748391,35221,1,1
1250566,3090150,28600,1,1
1371905,3391853,27845,22,1
949286,2341730,4920,7,1
954245,2353726,24221,10,0
92311,229395,14650,7,0
1220290,3015169,24852,4,1
340073,828748,12508,6,1
1349092,3332853,6287,5,0
1304704,3221877,1519,2,1
465579,1141076,46979,15,0
1050674,2598737,32018,9,1
582818,1432740,48199,3,0
314259,765030,21137,13,0
964451,2379249,3376,23,1
497371,1221385,27521,13,0
512707,1258696,46817,7,1
59530,145993,47734,14,0
